epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7388,0.7251,2.17133,1.38651,0.77872,0.79763,0.87188,0.73938,0.60647,0.9579,1.1031,0.0702,0.00331111,0.00331111
2,87.4414,0.62491,0.88422,1.2642,0.89743,0.89158,0.9658,0.80577,0.67176,0.78837,1.20905,0.0401342,0.00657866,0.00657866
3,130.526,0.68868,0.88235,1.30012,0.67977,0.6344,0.74059,0.49644,0.98356,1.78004,1.62435,0.0100024,0.00978022,0.00978022
4,172.814,0.73201,0.85692,1.33402,0.74865,0.85422,0.86967,0.60891,1.11485,1.20855,1.79625,0.009703,0.009703,0.009703
5,214.489,0.72482,0.79904,1.32293,0.59682,0.7063,0.74577,0.41883,1.47464,1.68394,2.48364,0.009604,0.009604,0.009604
6,256.249,0.69119,0.74181,1.29898,0.8065,0.81135,0.8608,0.55418,1.31945,0.98407,2.08339,0.009505,0.009505,0.009505
7,297.829,0.6773,0.71107,1.27566,0.8426,0.93843,0.90807,0.77036,0.62255,0.72512,1.16747,0.009406,0.009406,0.009406
8,339.427,0.66294,0.66919,1.27055,0.96055,0.95029,0.98721,0.85562,0.58225,0.48608,1.09834,0.009307,0.009307,0.009307
9,382.209,0.64611,0.64413,1.25619,0.93657,0.86825,0.96235,0.78148,0.75791,0.64943,1.26667,0.009208,0.009208,0.009208
10,424.806,0.63825,0.6251,1.24437,0.9467,0.92946,0.97952,0.80239,0.76698,0.51399,1.29733,0.009109,0.009109,0.009109
11,467.276,0.61717,0.58646,1.22261,0.92386,0.90142,0.95961,0.8303,0.60093,0.61015,1.1339,0.00901,0.00901,0.00901
12,509.066,0.62127,0.567,1.22941,0.85631,0.9134,0.95848,0.85068,0.54702,0.6134,1.0582,0.008911,0.008911,0.008911
13,551.869,0.59534,0.56067,1.21164,0.94933,0.97426,0.98346,0.87788,0.51793,0.40333,1.03208,0.008812,0.008812,0.008812
14,594.361,0.58578,0.54581,1.20851,0.95379,0.95679,0.98554,0.83657,0.67242,0.54443,1.20888,0.008713,0.008713,0.008713
